name,lanetype,the_length
VAN LILL ST,BIKE BOULEVARD,NA
W 33RD ST,BIKE BOULEVARD,NA
W 36TH ST,BIKE BOULEVARD,NA
W 39TH ST,BIKE BOULEVARD,NA
W BELVEDERE AVE,BIKE BOULEVARD,NA
W COLD SPRING LANE,BIKE BOULEVARD,NA
W LANVALE ST,BIKE BOULEVARD,NA
W LOMBARD ST,BIKE BOULEVARD,NA
W PRATT ST,BIKE BOULEVARD,NA
W ROGERS AVE,BIKE BOULEVARD,NA
W UNIVERSITY PKWY,BIKE BOULEVARD,NA
WABASH AVE,BIKE BOULEVARD,NA
WALTHER AVE,BIKE BOULEVARD,NA
WARREN AVE,BIKE BOULEVARD,NA
WHITMAN DR,BIKE BOULEVARD,NA
WILLIAM ST,BIKE BOULEVARD,NA
WINANS WAY,BIKE BOULEVARD,NA
WINSTON AVE,BIKE BOULEVARD,NA
WINSTON-ROSSITER,BIKE BOULEVARD,NA
WINSTON-STONEWOOD,BIKE BOULEVARD,NA
WYMAN PARK DR,BIKE BOULEVARD,NA
YORK ROAD,BIKE BOULEVARD,NA
ALBEMARLE ST,BIKE LANE,NA
ALICEANNA ST,BIKE LANE,NA
ARGONNE DR,BIKE LANE,1312.60837294
ART MUSEUM DR,BIKE LANE,NA
AUCHENTOROLY TERR,BIKE LANE,1341.82907995
BANK ST,BIKE LANE,2983.28359106
BATTERY AVE,BIKE LANE,NA
BEAUMONT AVE,BIKE LANE,NA
BELAIR ROAD,BIKE LANE,NA
BOSTON ST,BIKE LANE,7805.1308677
CHARLCOTE ROAD,BIKE LANE,NA
CHERRY HILL ROAD,BIKE LANE,2904.26370232
CHERRYLAND ROAD,BIKE LANE,NA
CHESTNUT AVE,BIKE LANE,NA
CLARKS LANE,BIKE LANE,NA
CORSE AVE,BIKE LANE,NA
CROSS COUNTRY BLVD,BIKE LANE,2642.54419277
CURRAN DR,BIKE LANE,2682.62480013
DOLFIELD AVE,BIKE LANE,NA
DRUID PARK LAKE DR,BIKE LANE,688.70665333
E 33RD ST,BIKE LANE,810.13070239
E 34TH ST,BIKE LANE,NA
E BALTIMORE ST,BIKE LANE,77.27323272
E CLEMENT ST,BIKE LANE,NA
E COLD SPRING LANE,BIKE LANE,NA
E GITTINGS ST,BIKE LANE,NA
E LANVALE ST,BIKE LANE,NA
E LOMBARD ST,BIKE LANE,NA
E MONUMENT ST,BIKE LANE,1813.44460732
E MOUNT ROYAL AVE,BIKE LANE,NA
E PRATT ST,BIKE LANE,NA
E UNIVERSITY PKWY,BIKE LANE,NA
EASTERN AVE,BIKE LANE,NA
ECHODALE AVE,BIKE LANE,NA
EDMONDSON AVE,BIKE LANE,6017.5128518599995
ESSEX ST,BIKE LANE,NA
ETHELBERT AVE,BIKE LANE,NA
FAIRHAVEN AVE,BIKE LANE,3079.70948069
FAIT AVE,BIKE LANE,NA
FALLSWAY,BIKE LANE,389.00921415
FAWN ST,BIKE LANE,NA
FLEET ST,BIKE LANE,NA
FRANKFORD AVE,BIKE LANE,3369.63873615
FRANKFORD ROAD,BIKE LANE,634.53631978
FRANKFURST AVE,BIKE LANE,313.18967684
FREDERICK AVE,BIKE LANE,15122.85857119
FREDERICK ROAD,BIKE LANE,159.50782312
GARRISON BLVD,BIKE LANE,NA
GLEN AVE,BIKE LANE,NA
GOUGH ST,BIKE LANE,NA
GREENSPRING AVE,BIKE LANE,10215.69380659
GREENWAY,BIKE LANE,NA
GUILFORD AVE,BIKE LANE,NA
GUILFORD TERR,BIKE LANE,NA
GWYNN OAK AVE,BIKE LANE,8928.65408804
HAMLIN AVE,BIKE LANE,NA
HILLEN ROAD,BIKE LANE,NA
HILTON ROAD,BIKE LANE,883.3423648600001
HUNTINGDON PATH,BIKE LANE,NA
JACKSON ST,BIKE LANE,NA
KELLY AVE,BIKE LANE,3390.16646609
KESWICK ROAD,BIKE LANE,NA
LAKE DR,BIKE LANE,6384.20417228
LAKE MONTEBELLO DR,BIKE LANE,259.6567246
LANCASTER ST,BIKE LANE,NA
LEAKIN ST,BIKE LANE,NA
LIBERTY HEIGHTS AVE,BIKE LANE,730.6465573600001
