name,lanetype,the_length
HUNTINGDON PATH,SHARROW,NA
JACKSON ST,SHARROW,NA
KELLY AVE,SHARROW,NA
KESWICK ROAD,SHARROW,1893.79311298
LAKE DR,SHARROW,NA
LAKE MONTEBELLO DR,SHARROW,NA
LANCASTER ST,SHARROW,NA
LEAKIN ST,SHARROW,292.70323701
LIBERTY HEIGHTS AVE,SHARROW,NA
LIGHT ST,SHARROW,NA
LOCH RAVEN BLVD,SHARROW,3956.9832261
MADISON AVE,SHARROW,NA
MC CALLUM DR,SHARROW,NA
MILLBROOK ROAD,SHARROW,NA
MORAVIA PARK DR,SHARROW,403.08043734
N BROADWAY,SHARROW,4987.1162642
N CENTRAL AVE,SHARROW,NA
N CHARLES,SHARROW,NA
N CHARLES ST,SHARROW,NA
N HIGHLAND AVE,SHARROW,NA
N ROGERS AVE,SHARROW,5538.40680956
NORTHWOOD DR,SHARROW,NA
NORWOOD ROAD,SHARROW,NA
NOTRE DAME LANE,SHARROW,NA
O'DONNELL ST CUT OFF,SHARROW,NA
PACIFIC ST,SHARROW,16.93555727
PARK HEIGHTS AVE,SHARROW,4971.52544529
PENTWOOD ROAD,SHARROW,NA
PIMLICO ROAD,SHARROW,173.96616601
POST ROAD,SHARROW,NA
POTEE ST,SHARROW,NA
PRESIDENT ST,SHARROW,331.62963543
RIVERSIDE AVE,SHARROW,NA
ROLAND AVE,SHARROW,1780.0951697799999
S BROADWAY,SHARROW,7087.22404143
S CAROLINE ST,SHARROW,NA
S CENTRAL AVE,SHARROW,NA
S CONKLING ST,SHARROW,NA
S EXETER ST,SHARROW,NA
S HANOVER,SHARROW,NA
S HANOVER ST,SHARROW,NA
S HAVEN ST,SHARROW,NA
S HIGHLAND AVE,SHARROW,NA
S MONTFORD AVE,SHARROW,47.40281092
S PRESIDENT ST,SHARROW,NA
SAINT PAUL ST,SHARROW,NA
SAN MARTIN DR,SHARROW,NA
SEQUOIA AVE,SHARROW,1166.50197416
STUART AVE,SHARROW,13.49212208
THE ALAMEDA,SHARROW,NA
TRAINOR AVE,SHARROW,NA
TRINITY ST,SHARROW,NA
VAN LILL ST,SHARROW,293.7979368
W 33RD ST,SHARROW,NA
W 36TH ST,SHARROW,921.42741714
W 39TH ST,SHARROW,NA
W BELVEDERE AVE,SHARROW,6307.27006899
W COLD SPRING LANE,SHARROW,5554.2529323
W LANVALE ST,SHARROW,NA
W LOMBARD ST,SHARROW,NA
W PRATT ST,SHARROW,NA
W ROGERS AVE,SHARROW,4023.5851524
W UNIVERSITY PKWY,SHARROW,4214.59737284
WABASH AVE,SHARROW,1906.87696199
WALTHER AVE,SHARROW,NA
WARREN AVE,SHARROW,NA
WHITMAN DR,SHARROW,NA
WILLIAM ST,SHARROW,NA
WINANS WAY,SHARROW,NA
WINSTON AVE,SHARROW,NA
WINSTON-ROSSITER,SHARROW,NA
WINSTON-STONEWOOD,SHARROW,NA
WYMAN PARK DR,SHARROW,3495.50207572
YORK ROAD,SHARROW,NA
ALBEMARLE ST,SIDEPATH,NA
ALICEANNA ST,SIDEPATH,NA
ARGONNE DR,SIDEPATH,NA
ART MUSEUM DR,SIDEPATH,NA
AUCHENTOROLY TERR,SIDEPATH,NA
BANK ST,SIDEPATH,NA
BATTERY AVE,SIDEPATH,NA
BEAUMONT AVE,SIDEPATH,NA
BELAIR ROAD,SIDEPATH,NA
BOSTON ST,SIDEPATH,NA
CHARLCOTE ROAD,SIDEPATH,NA
CHERRY HILL ROAD,SIDEPATH,NA
CHERRYLAND ROAD,SIDEPATH,NA
CHESTNUT AVE,SIDEPATH,NA
CLARKS LANE,SIDEPATH,NA
CORSE AVE,SIDEPATH,NA
CROSS COUNTRY BLVD,SIDEPATH,NA
CURRAN DR,SIDEPATH,NA
DOLFIELD AVE,SIDEPATH,NA
DRUID PARK LAKE DR,SIDEPATH,NA
E 33RD ST,SIDEPATH,NA
E 34TH ST,SIDEPATH,NA
E BALTIMORE ST,SIDEPATH,NA
E CLEMENT ST,SIDEPATH,NA
E COLD SPRING LANE,SIDEPATH,NA
E GITTINGS ST,SIDEPATH,NA
E LANVALE ST,SIDEPATH,NA
E LOMBARD ST,SIDEPATH,NA
E MONUMENT ST,SIDEPATH,NA
E MOUNT ROYAL AVE,SIDEPATH,NA
E PRATT ST,SIDEPATH,NA
E UNIVERSITY PKWY,SIDEPATH,NA
EASTERN AVE,SIDEPATH,1443.54253308
ECHODALE AVE,SIDEPATH,NA
EDMONDSON AVE,SIDEPATH,NA
ESSEX ST,SIDEPATH,NA
ETHELBERT AVE,SIDEPATH,NA
FAIRHAVEN AVE,SIDEPATH,NA
FAIT AVE,SIDEPATH,NA
FALLSWAY,SIDEPATH,NA
FAWN ST,SIDEPATH,NA
FLEET ST,SIDEPATH,NA
FRANKFORD AVE,SIDEPATH,NA
FRANKFORD ROAD,SIDEPATH,NA
FRANKFURST AVE,SIDEPATH,NA
FREDERICK AVE,SIDEPATH,NA
FREDERICK ROAD,SIDEPATH,NA
GARRISON BLVD,SIDEPATH,NA
GLEN AVE,SIDEPATH,NA
GOUGH ST,SIDEPATH,NA
GREENSPRING AVE,SIDEPATH,NA
GREENWAY,SIDEPATH,NA
GUILFORD AVE,SIDEPATH,NA
GUILFORD TERR,SIDEPATH,NA
GWYNN OAK AVE,SIDEPATH,NA
HAMLIN AVE,SIDEPATH,NA
HILLEN ROAD,SIDEPATH,NA
HILTON ROAD,SIDEPATH,NA
HUNTINGDON PATH,SIDEPATH,0
JACKSON ST,SIDEPATH,NA
KELLY AVE,SIDEPATH,NA
KESWICK ROAD,SIDEPATH,NA
LAKE DR,SIDEPATH,NA
LAKE MONTEBELLO DR,SIDEPATH,NA
LANCASTER ST,SIDEPATH,NA
LEAKIN ST,SIDEPATH,NA
LIBERTY HEIGHTS AVE,SIDEPATH,NA
LIGHT ST,SIDEPATH,NA
LOCH RAVEN BLVD,SIDEPATH,NA
MADISON AVE,SIDEPATH,NA
MC CALLUM DR,SIDEPATH,NA
MILLBROOK ROAD,SIDEPATH,NA
MORAVIA PARK DR,SIDEPATH,NA
N BROADWAY,SIDEPATH,NA
N CENTRAL AVE,SIDEPATH,NA
N CHARLES,SIDEPATH,NA
N CHARLES ST,SIDEPATH,NA
N HIGHLAND AVE,SIDEPATH,NA
N ROGERS AVE,SIDEPATH,NA
NORTHWOOD DR,SIDEPATH,NA
NORWOOD ROAD,SIDEPATH,NA
NOTRE DAME LANE,SIDEPATH,NA
O'DONNELL ST CUT OFF,SIDEPATH,NA
PACIFIC ST,SIDEPATH,NA
PARK HEIGHTS AVE,SIDEPATH,NA
PENTWOOD ROAD,SIDEPATH,NA
PIMLICO ROAD,SIDEPATH,NA
POST ROAD,SIDEPATH,NA
POTEE ST,SIDEPATH,NA
PRESIDENT ST,SIDEPATH,NA
RIVERSIDE AVE,SIDEPATH,NA
ROLAND AVE,SIDEPATH,NA
S BROADWAY,SIDEPATH,NA
S CAROLINE ST,SIDEPATH,NA
S CENTRAL AVE,SIDEPATH,NA
S CONKLING ST,SIDEPATH,NA
S EXETER ST,SIDEPATH,NA
S HANOVER,SIDEPATH,NA
S HANOVER ST,SIDEPATH,NA
S HAVEN ST,SIDEPATH,344.44056692
S HIGHLAND AVE,SIDEPATH,NA
S MONTFORD AVE,SIDEPATH,NA
S PRESIDENT ST,SIDEPATH,NA
SAINT PAUL ST,SIDEPATH,NA
SAN MARTIN DR,SIDEPATH,NA
SEQUOIA AVE,SIDEPATH,NA
STUART AVE,SIDEPATH,NA
THE ALAMEDA,SIDEPATH,NA
TRAINOR AVE,SIDEPATH,NA
TRINITY ST,SIDEPATH,NA
VAN LILL ST,SIDEPATH,NA
W 33RD ST,SIDEPATH,NA
W 36TH ST,SIDEPATH,NA
W 39TH ST,SIDEPATH,NA
W BELVEDERE AVE,SIDEPATH,NA
W COLD SPRING LANE,SIDEPATH,NA
W LANVALE ST,SIDEPATH,NA
W LOMBARD ST,SIDEPATH,NA
W PRATT ST,SIDEPATH,NA
W ROGERS AVE,SIDEPATH,NA
W UNIVERSITY PKWY,SIDEPATH,NA
WABASH AVE,SIDEPATH,NA
WALTHER AVE,SIDEPATH,NA
WARREN AVE,SIDEPATH,NA
WHITMAN DR,SIDEPATH,NA
WILLIAM ST,SIDEPATH,NA
WINANS WAY,SIDEPATH,1848.48484641
WINSTON AVE,SIDEPATH,NA
WINSTON-ROSSITER,SIDEPATH,NA
WINSTON-STONEWOOD,SIDEPATH,NA
WYMAN PARK DR,SIDEPATH,NA
YORK ROAD,SIDEPATH,NA
ALBEMARLE ST,SIGNED ROUTE,1879.35202472
ALICEANNA ST,SIGNED ROUTE,NA
ARGONNE DR,SIGNED ROUTE,NA
ART MUSEUM DR,SIGNED ROUTE,832.97396136
AUCHENTOROLY TERR,SIGNED ROUTE,NA
BANK ST,SIGNED ROUTE,4551.25386491
BATTERY AVE,SIGNED ROUTE,623.41964486
BEAUMONT AVE,SIGNED ROUTE,3116.98654823
BELAIR ROAD,SIGNED ROUTE,NA
BOSTON ST,SIGNED ROUTE,NA
CHARLCOTE ROAD,SIGNED ROUTE,726.52919249
CHERRY HILL ROAD,SIGNED ROUTE,NA
CHERRYLAND ROAD,SIGNED ROUTE,NA
CHESTNUT AVE,SIGNED ROUTE,NA
CLARKS LANE,SIGNED ROUTE,1075.4559229
CORSE AVE,SIGNED ROUTE,NA
CROSS COUNTRY BLVD,SIGNED ROUTE,6723.59891175
CURRAN DR,SIGNED ROUTE,NA
DOLFIELD AVE,SIGNED ROUTE,NA
DRUID PARK LAKE DR,SIGNED ROUTE,NA
E 33RD ST,SIGNED ROUTE,216.56292953
E 34TH ST,SIGNED ROUTE,99.86366704
E BALTIMORE ST,SIGNED ROUTE,NA
E CLEMENT ST,SIGNED ROUTE,894.15264917
E COLD SPRING LANE,SIGNED ROUTE,18.47702219
E GITTINGS ST,SIGNED ROUTE,1374.82961211
E LANVALE ST,SIGNED ROUTE,NA
E LOMBARD ST,SIGNED ROUTE,NA
E MONUMENT ST,SIGNED ROUTE,NA
E MOUNT ROYAL AVE,SIGNED ROUTE,NA
E PRATT ST,SIGNED ROUTE,NA
E UNIVERSITY PKWY,SIGNED ROUTE,3505.17049879
EASTERN AVE,SIGNED ROUTE,NA
ECHODALE AVE,SIGNED ROUTE,NA
EDMONDSON AVE,SIGNED ROUTE,NA
ESSEX ST,SIGNED ROUTE,NA
ETHELBERT AVE,SIGNED ROUTE,699.88448829
FAIRHAVEN AVE,SIGNED ROUTE,NA
FAIT AVE,SIGNED ROUTE,NA
FALLSWAY,SIGNED ROUTE,NA
FAWN ST,SIGNED ROUTE,929.80072719
FLEET ST,SIGNED ROUTE,NA
FRANKFORD AVE,SIGNED ROUTE,NA
FRANKFORD ROAD,SIGNED ROUTE,NA
FRANKFURST AVE,SIGNED ROUTE,NA
FREDERICK AVE,SIGNED ROUTE,NA
FREDERICK ROAD,SIGNED ROUTE,NA
GARRISON BLVD,SIGNED ROUTE,NA
GLEN AVE,SIGNED ROUTE,NA
GOUGH ST,SIGNED ROUTE,4219.05122912
GREENSPRING AVE,SIGNED ROUTE,NA
GREENWAY,SIGNED ROUTE,5362.2712417699995
GUILFORD AVE,SIGNED ROUTE,NA
GUILFORD TERR,SIGNED ROUTE,NA
GWYNN OAK AVE,SIGNED ROUTE,NA
HAMLIN AVE,SIGNED ROUTE,NA
HILLEN ROAD,SIGNED ROUTE,65.16350959
HILTON ROAD,SIGNED ROUTE,NA
HUNTINGDON PATH,SIGNED ROUTE,NA
JACKSON ST,SIGNED ROUTE,577.78346967
KELLY AVE,SIGNED ROUTE,NA
KESWICK ROAD,SIGNED ROUTE,NA
LAKE DR,SIGNED ROUTE,NA
LAKE MONTEBELLO DR,SIGNED ROUTE,NA
LANCASTER ST,SIGNED ROUTE,1885.55218874
LEAKIN ST,SIGNED ROUTE,NA
LIBERTY HEIGHTS AVE,SIGNED ROUTE,NA
LIGHT ST,SIGNED ROUTE,NA
LOCH RAVEN BLVD,SIGNED ROUTE,67.00418612
MADISON AVE,SIGNED ROUTE,NA
MC CALLUM DR,SIGNED ROUTE,1387.10258505
MILLBROOK ROAD,SIGNED ROUTE,2208.5831295
MORAVIA PARK DR,SIGNED ROUTE,NA
N BROADWAY,SIGNED ROUTE,NA
N CENTRAL AVE,SIGNED ROUTE,NA
N CHARLES,SIGNED ROUTE,1132.28251635
N CHARLES ST,SIGNED ROUTE,3312.16291538
N HIGHLAND AVE,SIGNED ROUTE,NA
N ROGERS AVE,SIGNED ROUTE,NA
NORTHWOOD DR,SIGNED ROUTE,464.24843955
NORWOOD ROAD,SIGNED ROUTE,660.59016508
NOTRE DAME LANE,SIGNED ROUTE,904.42618611
O'DONNELL ST CUT OFF,SIGNED ROUTE,NA
PACIFIC ST,SIGNED ROUTE,NA
PARK HEIGHTS AVE,SIGNED ROUTE,NA
PENTWOOD ROAD,SIGNED ROUTE,3035.36462169
PIMLICO ROAD,SIGNED ROUTE,NA
POST ROAD,SIGNED ROUTE,1910.89748625
POTEE ST,SIGNED ROUTE,NA
PRESIDENT ST,SIGNED ROUTE,NA
RIVERSIDE AVE,SIGNED ROUTE,1900.0742418099999
ROLAND AVE,SIGNED ROUTE,NA
S BROADWAY,SIGNED ROUTE,NA
S CAROLINE ST,SIGNED ROUTE,NA
S CENTRAL AVE,SIGNED ROUTE,NA
S CONKLING ST,SIGNED ROUTE,NA
S EXETER ST,SIGNED ROUTE,80.06311277
S HANOVER,SIGNED ROUTE,NA
S HANOVER ST,SIGNED ROUTE,NA
S HAVEN ST,SIGNED ROUTE,NA
S HIGHLAND AVE,SIGNED ROUTE,NA
S MONTFORD AVE,SIGNED ROUTE,NA
S PRESIDENT ST,SIGNED ROUTE,NA
SAINT PAUL ST,SIGNED ROUTE,NA
SAN MARTIN DR,SIGNED ROUTE,4516.73335256
SEQUOIA AVE,SIGNED ROUTE,NA
STUART AVE,SIGNED ROUTE,NA
THE ALAMEDA,SIGNED ROUTE,634.5706593299999
TRAINOR AVE,SIGNED ROUTE,335.57315793
TRINITY ST,SIGNED ROUTE,472.40722709
VAN LILL ST,SIGNED ROUTE,NA
W 33RD ST,SIGNED ROUTE,NA
W 36TH ST,SIGNED ROUTE,NA
W 39TH ST,SIGNED ROUTE,1525.06862845
W BELVEDERE AVE,SIGNED ROUTE,NA
W COLD SPRING LANE,SIGNED ROUTE,NA
W LANVALE ST,SIGNED ROUTE,NA
W LOMBARD ST,SIGNED ROUTE,NA
W PRATT ST,SIGNED ROUTE,NA
W ROGERS AVE,SIGNED ROUTE,NA
W UNIVERSITY PKWY,SIGNED ROUTE,NA
WABASH AVE,SIGNED ROUTE,NA
WALTHER AVE,SIGNED ROUTE,NA
WARREN AVE,SIGNED ROUTE,172.63444476
WHITMAN DR,SIGNED ROUTE,328.21512034
WILLIAM ST,SIGNED ROUTE,1800.64562866
WINANS WAY,SIGNED ROUTE,NA
WINSTON AVE,SIGNED ROUTE,5225.8509782
WINSTON-ROSSITER,SIGNED ROUTE,513.66242822
WINSTON-STONEWOOD,SIGNED ROUTE,262.37189461
WYMAN PARK DR,SIGNED ROUTE,1305.2032874
YORK ROAD,SIGNED ROUTE,66.52652247
