datetime:city:state:country:shape:duration (seconds):duration (hours/min):comments:date posted:latitude:longitude
"8/18/2012 23:30":oakbank (canada):mb:NA:circle:300:5 minutes:Large orange red circle shaped object that vanished in thin air:8/19/2012:49.939118:-96.84258
"7/19/2012 22:00":pawleys island:sc:us:light:1800:30 minutes:Lights off coast at Pawleys Island&#44 SC:8/5/2012:33.4330556:-79.1216667
"3/2/2004 20:30":washington&#44 d.c.:dc:NA:light:60:1 minute:A &quot;formation&quot; of about 20 pale lights moved slowly across the Washington&#44 D.C. evening sky.:3/23/2004:38.907231:-77.036464
"3/20/2011 01:35":concord:nh:us:light:2:seconds:I was standing outside looking at the moon tonight&#44 when I looked over and saw two bright lights&#44 one on top of the other. Both were br:3/23/2011:43.2080556:-71.5380556
"1/10/2007 19:00":shawnee:wy:us:unknown:0:0002:seen single light moving east&#44it goes out. than see 3 lights in air center light brighter with a light on either side about 20 feetfrom:2/1/2007:42.7477778:-105.0091667
"6/2/2004 23:05":albufeira (portugal):NA:NA:triangle:180:2-3mins:Transparent triangle with bright light follwed by shaft of light to the sky.:7/8/2004:37.089072:-8.24788
"11/2/2001 17:40":roseville:ca:us:light:120:2 minutes:Bright light over I-80 East at Douglas. The light shot horizontally toward the East leaving a trail of light and disappeared.:11/20/2001:38.7522222:-121.2869444
"11/4/2004 19:15":roseburg:or:us:fireball:60:1 minute plus:Bright yellow ball with abrupt movement:11/9/2004:43.2166667:-123.3405556
"7/31/2011 00:10":tillsonburg (canada):on:ca:light:120:2 min:Orange silent light travelling over Tillsonburg ON:8/7/2011:42.866667:-80.733333
"7/16/1980 13:40":seattle:wa:us:cylinder:180:3 minutes:Cylinder UFO Sighted in Seattle&#44 Washington:8/12/2008:47.6063889:-122.3308333
"3/15/1946 15:30":alice:tx:us:disk:20:20 secs.:An extremely noisy disc.:5/2/2003:27.7519444:-98.0694444
"6/13/2003 22:00":barstow:ca:us:rectangle:600:10 minutes:There were  red and blue lights  round lights coming toward us.  It was the size of a small car hovering.:5/24/2005:34.8986111:-117.0219444
"9/26/2009 19:18":tempe:az:us:circle:60:1 minute:Bright circular light travels quickly and silently from NW to SE becomes brighter turns oval shapped zigzags abruptly and disappears.:12/12/2009:33.4147222:-111.9086111
"6/28/1997 18:00":springfield:oh:us:disk:60:one minute:I was at a friend&#39s house sitting on the back patio.  The time of day was sunset&#44 although it was still bright out.  I was sitting down:1/11/2002:39.9241667:-83.8088889
"5/10/1981 21:00":wayne:nj:us:oval:0:dont know:Our story told as is that Night in the summertime:9/28/2003:40.9252778:-74.2769444
"3/30/2006 23:01":cape town (south africa):NA:NA:teardrop:2220:37 minutes:large teardrop shaped&#44 white crafts:5/15/2006:-33.924868:18.424055
"5/15/1970 16:00":kansas city:mo:us:light:10:ten seconds:A brilliant&#44 greenish light that suddenly appeared within a grey cloud overhead.:5/14/2002:39.0997222:-94.5783333
"6/28/2000 22:03":monticello:fl:us:light:60:1 minute:Bright White Light:7/11/2000:30.5450000:-83.8702778
"11/16/1999 17:30":alpena:mi:us:NA:120:2 min:on the 16th thru the 18th I observed numurous meteors from west to east mostly this was part of the m.shower that occurs every 30 years:11/30/1999:45.0616667:-83.4327778
"7/27/2005 18:38":west babylon:ny:us:circle:30:30 seconds:A circular object that was spotted in NY.:9/2/2005:40.6955556:-73.3261111
