datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
7/28/2002 20:10,new york city,ny,us,changing,120,2 mins,Single black flying object&#44 alternating between circular and disclike shape&#44 constant velocity seen over NYC.,7/30/2002,40.7141667,-74.0063889
8/15/1988 21:30,mendham,nj,us,fireball,30,30 seconds,I saw an orange fireball pass through the woods and cross the road ahead of me,3/18/2014,40.7758333,-74.6011111
10/16/2010 22:30,charlivox,mi,NA,cigar,30,30 seconds,We where setting on the edge of a corn field looking east north east over a meadow calling coyotes. clear night half moon&#44 no clouds.,11/21/2010,45.318063,-85.2584
4/25/2013 05:30,franklin,wi,us,sphere,360,6 minutes,AN OBJECT AT FIRST GLANCE APPEARS TO BE MOON LIKE BUT IS SOME SORT OF AIRCRAFT.,5/15/2013,42.8886111,-88.0383333
1/25/2012 18:22,colorado springs,co,us,cigar,180,3 min.,Four blue lights seen blinking in what seems like morse code by two kids.,2/3/2012,38.8338889,-104.8208333
3/10/2010 00:23,huson,mt,us,circle,120,several minutes,Three large circular crafts moving towards Missoula.,4/13/2010,47.0313889,-114.3263889
8/16/2003 17:00,houston,tx,us,formation,2700,45 minutes,Three dark mysterious objects in the afternoon sky,8/28/2003,29.7630556,-95.3630556
4/29/2011 20:45,san jose,ca,us,fireball,600,5-10 mins,15-20 orange glowing objects travelling across the night sky.,5/2/2011,37.3394444,-121.8938889
6/30/2004 13:00,charleston,sc,us,rectangle,3600,less than 1 hour,Clear floating rectangular cube,6/14/2012,32.7763889,-79.9311111
3/1/2009 14:23,hudson falls,ny,us,sphere,15,15 seconds,An orange light that zig-zags.,3/19/2009,43.3005556,-73.5863889
3/13/2000 20:00,san jose,ca,us,light,30,15-30 seconds,A light blue streak in the sky around 8pm.  Meteor movement like.  Odd color.,6/6/2000,37.3394444,-121.8938889
9/12/2006 15:30,mojave desert,nv,NA,sphere,1800,30min or more,2 silver spheres that dissepeard and came back all the time keeping the same posistion over mojave desert for 30min or more,10/30/2006,35.93181,-116.227858
9/29/2012 18:30,san juan (puerto rico),NA,NA,fireball,600,7-10 minutes,Two orange fireballs over Metropolitan Area in San Juan&#44 Puerto Rico,10/30/2012,0,0
8/12/2006 00:30,murray,ky,us,changing,14400,4hr,The craft were over the car when we saw the jets.,10/30/2006,36.6102778,-88.3147222
9/1/2011 01:55,vashon,wa,us,light,900,15 minues,Semi-circle of lights flashing outside a hazy circle.,10/10/2011,47.4475000,-122.4586111
1/3/2013 00:43,phoenix,az,us,NA,300,5 minutes,Strange orange light start on side of sky.  Then at very fast pace went across  and stay still fir a moment hen went up and down patter,2/4/2013,33.4483333,-112.0733333
3/3/2000 04:00,longwood,fl,us,light,20,20 seconds,A circle of light collapsed on the starlight&#44 and it fled due east.,6/18/2004,28.7027778,-81.3386111
11/29/2013 07:45,i-95 south,sc,NA,other,20,20 seconds,My husband and i were driving back home and saw this weird light ahead of us towards another light we thought they were going to crush,12/2/2013,36.877342,-77.404475
4/5/2014 22:30,san antonio,tx,us,triangle,900,15 minutes,UFO sighting.,4/11/2014,29.4238889,-98.4933333
10/24/2013 19:40,lakeland,tn,us,light,30,30 seconds,Light seen makes a turn and disappears.,11/11/2013,35.2305556,-89.7402778
